lux,r,g,b,c,distance
4,188,155,89,445,18
5,205,180,111,513,18
5,199,174,106,494,18
5,199,172,104,491,18
2,116,94,62,278,18
2,100,78,53,235,17
4,193,168,103,480,18
5,203,174,105,497,18
5,196,171,104,486,18
4,182,163,100,460,18
4,180,161,99,455,17
5,201,174,106,496,18
5,206,176,106,504,18
17,868,652,579,2108,18
28,1510,1081,1006,3621,18
30,1648,1158,1081,3898,18
2,94,73,49,220,18
5,201,173,105,494,18
5,200,173,104,492,18
27,707,1007,676,2435,18
43,967,1583,933,3502,18
2,96,91,68,260,18
2,107,87,57,256,18
5,202,174,105,497,18
8,329,330,285,964,18
19,760,1325,1914,4009,18
2,111,91,59,267,18
3,132,112,72,325,18
5,203,175,106,500,18
50,1859,1704,1058,4658,18
144,4941,4664,2374,12162,18
2,99,79,53,236,18
5,202,174,105,496,17
5,203,175,106,498,18
17,1074,568,468,2124,18
29,1902,985,836,3718,18
2,90,72,48,213,18
2,102,86,56,250,17
5,204,176,107,502,18
5,203,175,106,500,18
7,307,275,223,817,17
18,773,727,636,2159,18
18,755,724,644,2148,18
2,85,74,58,221,18
2,116,99,63,285,18
5,206,179,110,510,18
5,206,180,110,512,18
